,Open,High,Low,Close,Volume
2024-09-23,49.68,49.7752,49.59,49.6,3479245.0
2024-09-24,49.76,50.335,49.7113,50.31,5322704.0
2024-09-25,50.33,50.39,50.045,50.25,4024314.0
2024-09-26,50.39,50.57,50.1378,50.5,3965276.0
2024-09-27,50.36,50.44,49.92,50.09,9018173.0
2024-09-30,49.89,49.895,49.58,49.7,4003418.0
2024-10-01,50.14,50.485,50.1,50.21,6266896.0
2024-10-02,50.21,50.3,49.88,50.22,8670413.0
2024-10-03,50.03,50.275,49.82,50.2,8834181.0
2024-10-04,50.09,50.43,49.9,50.08,8655846.0
2024-10-07,50.0,50.0599,49.85,49.92,2530065.0
2024-10-08,49.84,49.89,49.195,49.54,10629162.0
2024-10-09,49.31,49.44,49.2,49.27,3166799.0
2024-10-10,49.42,49.685,49.38,49.65,2936616.0
2024-10-11,50.0,50.27,49.98,50.16,2017669.0
2024-10-14,50.12,50.26,49.9313,50.1,2166281.0
2024-10-15,50.09,50.41,50.0,50.28,2728977.0
2024-10-16,50.64,50.72,50.37,50.53,2244979.0
2024-10-17,50.66,50.9151,50.625,50.84,4507237.0
2024-10-18,51.11,51.41,51.095,51.37,7175615.0
2024-10-21,51.68,51.7572,51.265,51.38,6549515.0
2024-10-22,51.73,51.92,51.63,51.92,4308575.0
2024-10-23,51.75,51.76,51.15,51.29,5307801.0
2024-10-24,51.79,51.795,51.4,51.68,3483713.0
2024-10-25,51.54,51.84,51.475,51.8,2901133.0
2024-10-28,51.74,51.855,51.72,51.78,4269695.0
2024-10-29,52.02,52.4,51.98,52.36,9023700.0
2024-10-30,52.5,52.69,52.325,52.65,3386308.0
2024-10-31,52.25,52.26,51.57,51.84,11368174.0
2024-11-01,51.99,52.11,51.615,51.62,5835085.0
2024-11-04,51.8,51.8452,51.585,51.7,3213099.0
2024-11-05,51.88,51.93,51.605,51.81,2337212.0
2024-11-06,50.22,50.565,50.08,50.23,10917657.0
2024-11-07,50.76,51.16,50.73,51.06,4299585.0
2024-11-08,50.92,50.985,50.66,50.7,27814476.0
2024-11-11,49.62,49.625,49.2901,49.51,9869489.0
2024-11-12,49.345,49.41,48.955,49.08,7707090.0
2024-11-13,49.34,49.38,48.585,48.59,8931826.0
2024-11-14,48.38,48.66,48.29,48.46,6172978.0
2024-11-15,48.57,48.6321,48.32,48.37,5204570.0
2024-11-18,49.16,49.38,49.16,49.29,5593039.0
2024-11-19,49.64,49.75,49.49,49.74,4858937.0
2024-11-20,49.83,50.14,49.79,50.03,4127895.0
2024-11-21,50.35,50.4651,50.24,50.44,3074361.0
2024-11-22,50.75,51.2,50.68,51.08,4238770.0
2024-11-25,49.96,49.97,49.385,49.59,7724153.0
2024-11-26,49.64,49.7053,49.4,49.69,4047658.0
2024-11-27,50.07,50.135,49.734,49.78,7452801.0
2024-11-29,50.15,50.26,50.05,50.25,2425320.0
2024-12-02,49.985,50.015,49.7173,49.79,5103881.0
2024-12-03,50.09,50.1354,49.755,49.89,3198964.0
2024-12-04,50.09,50.1699,49.975,50.04,4011974.0
2024-12-05,49.94,49.975,49.52,49.67,3758896.0
2024-12-06,49.64,49.8699,49.5799,49.68,6142859.0
2024-12-09,50.38,50.525,50.155,50.17,4664121.0
2024-12-10,50.68,50.8851,50.68,50.83,2917054.0
2024-12-11,50.99,51.38,50.9125,51.3,7037053.0
2024-12-12,50.69,50.765,50.485,50.57,6261038.0
2024-12-13,50.24,50.2999,49.95,49.98,5438356.0
2024-12-16,50.17,50.21,50.01,50.06,3704591.0
2024-12-17,49.86,50.0079,49.74,49.91,4223736.0
2024-12-18,49.8,49.84,48.84,48.93,7227711.0
2024-12-19,49.01,49.09,48.825,49.0,3855392.0
2024-12-20,49.38,49.68,49.32,49.5,5019710.0
2024-12-23,49.41,49.42,49.21,49.27,4704511.0
2024-12-24,49.38,49.4235,49.25,49.39,1216726.0
2024-12-26,49.58,49.805,49.53,49.72,2384063.0
2024-12-27,49.36,49.4855,49.3,49.37,2654274.0
2024-12-30,49.3,49.3,49.0,49.22,2625002.0
2024-12-31,49.3,49.6,49.3,49.51,3248798.0
2025-01-02,49.95,50.22,49.92,50.19,4049850.0
2025-01-03,50.02,50.07,49.775,49.79,3330865.0
2025-01-06,49.56,49.859,49.505,49.74,3788968.0
2025-01-07,50.21,50.265,49.875,50.01,5952172.0
2025-01-08,50.25,50.41,50.01,50.29,4796293.0
2025-01-10,50.74,50.93,50.625,50.78,10078728.0
2025-01-13,50.37,50.48,50.14,50.25,4420523.0
2025-01-14,50.21,50.53,50.21,50.53,2558647.0
2025-01-15,50.78,50.91,50.5299,50.91,5123945.0
2025-01-16,51.25,51.4167,51.185,51.25,6770510.0
2025-01-17,51.06,51.3,50.955,50.99,4246099.0
2025-01-21,51.55,51.83,51.515,51.75,5817033.0
2025-01-22,52.01,52.1,51.91,52.03,4875743.0
2025-01-23,51.79,52.0799,51.71,51.98,4447446.0
2025-01-24,52.35,52.5782,52.28,52.31,4306341.0
2025-01-27,51.91,51.9988,51.52,51.76,6761856.0
2025-01-28,51.98,52.19,51.915,52.18,5485921.0
2025-01-29,52.04,52.11,51.81,52.0,5875936.0
2025-01-30,52.59,52.81,52.455,52.76,7054912.0
2025-01-31,52.99,53.18,52.7397,52.87,6724318.0
2025-02-03,53.13,53.44,53.085,53.17,9447839.0
2025-02-04,53.55,53.69,53.455,53.69,5745197.0
2025-02-05,54.08,54.3999,53.99,54.02,9173746.0
2025-02-06,53.93,53.935,53.48,53.89,5222344.0
2025-02-07,54.23,54.475,53.8324,53.97,8020248.0
2025-02-10,54.83,54.945,54.665,54.88,10280948.0
2025-02-11,54.76,54.88,54.5599,54.69,6019853.0
2025-02-12,54.65,54.91,54.48,54.75,7050958.0
2025-02-13,54.89,55.295,54.87,55.28,4307241.0
2025-02-14,55.24,55.27,54.3,54.46,5884597.0
